img_id,sample_split,image_shape,label_shape,down_label_shape,spacing_mm,scaled_spacing_mm
696,train,"[512, 512, 223]","[512, 512, 223]","[256, 256, 223]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
194,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
305,train,"[512, 512, 267]","[512, 512, 267]","[256, 256, 267]","[0.38671875, 0.38671875, 0.5]","[0.7734375, 0.7734375, 0.5]"
344,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.34765625, 0.34765625, 0.5]","[0.6953125, 0.6953125, 0.5]"
867,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.361328125, 0.361328125, 0.5]","[0.72265625, 0.72265625, 0.5]"
450,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.373046875, 0.373046875, 0.5]","[0.74609375, 0.74609375, 0.5]"
788,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
362,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.38671875, 0.38671875, 0.5]","[0.7734375, 0.7734375, 0.5]"
10,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.3515625, 0.3515625, 0.5]","[0.703125, 0.703125, 0.5]"
605,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.357421875, 0.357421875, 0.5]","[0.71484375, 0.71484375, 0.5]"
23,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.380859375, 0.380859375, 0.5]","[0.76171875, 0.76171875, 0.5]"
553,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.349609375, 0.349609375, 0.5]","[0.69921875, 0.69921875, 0.5]"
922,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
682,val,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
934,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.3359375, 0.3359375, 0.5]","[0.671875, 0.671875, 0.5]"
737,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.35546875, 0.35546875, 0.5]","[0.7109375, 0.7109375, 0.5]"
510,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.361328125, 0.361328125, 0.5]","[0.72265625, 0.72265625, 0.5]"
2,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.37109375, 0.37109375, 0.5]","[0.7421875, 0.7421875, 0.5]"
420,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.34765625, 0.34765625, 0.5]","[0.6953125, 0.6953125, 0.5]"
881,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.349609375, 0.349609375, 0.5]","[0.69921875, 0.69921875, 0.5]"
11,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.330078125, 0.330078125, 0.5]","[0.66015625, 0.66015625, 0.5]"
906,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
251,val,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
409,val,"[512, 512, 263]","[512, 512, 263]","[256, 256, 263]","[0.380859375, 0.380859375, 0.5]","[0.76171875, 0.76171875, 0.5]"
134,val,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
822,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.42578125, 0.42578125, 0.5]","[0.8515625, 0.8515625, 0.5]"
248,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.3671875, 0.3671875, 0.5]","[0.734375, 0.734375, 0.5]"
907,val,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
873,val,"[512, 512, 233]","[512, 512, 233]","[256, 256, 233]","[0.4140625, 0.4140625, 0.5]","[0.828125, 0.828125, 0.5]"
376,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.375, 0.375, 0.5]","[0.75, 0.75, 0.5]"
821,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.3984375, 0.3984375, 0.5]","[0.796875, 0.796875, 0.5]"
988,val,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.361328125, 0.361328125, 0.5]","[0.72265625, 0.72265625, 0.5]"
750,val,"[512, 512, 277]","[512, 512, 277]","[256, 256, 277]","[0.41796875, 0.41796875, 0.5]","[0.8359375, 0.8359375, 0.5]"
459,val,"[512, 512, 253]","[512, 512, 253]","[256, 256, 253]","[0.33984375, 0.33984375, 0.5]","[0.6796875, 0.6796875, 0.5]"
